Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
rod cell,rod cell,retinal rod cell,CL:0000604,1.0,CL:0000604
rod cell,rod cell,retinal rod cell,CL:0000604,1.0,CL:0000604
muller glia or astrocytes,muller glia or astrocytes,Mueller cell,CL:0000636,1.0,CL:0000636
microglia (tentative),microglia (tentative),immature microglial cell,CL:0002628,0.0,CL:0000749
bipolar cell,bipolar cell,ON-bipolar cell,CL:0000749,1.0,CL:0000749
muller glia or astrocytes,muller glia or astrocytes,Mueller cell,CL:0000636,1.0,CL:0000636
rod cell,rod cell,retinal rod cell,CL:0000604,1.0,CL:0000604
rod cell,rod cell,retinal rod cell,CL:0000604,1.0,CL:0000604
rod cell,rod cell,retinal rod cell,CL:0000604,1.0,CL:0000604
retinal pigment epithelium (rpe),retinal pigment epithelium (rpe),retinal pigment epithelial cell,CL:0002586,0.0,"CL:0000561, CL:0000636"
muller glia or astrocytes,muller glia or astrocytes,Mueller cell,CL:0000636,1.0,CL:0000636
muller glia or astrocytes,muller glia or astrocytes,Mueller cell,CL:0000636,1.0,CL:0000636
muller glia or astrocytes,muller glia or astrocytes,Mueller cell,CL:0000636,1.0,CL:0000636
cone photoreceptor cell,cone photoreceptor cell,S cone cell,CL:0003050,0.5,CL:0000573
rod cell,rod cell,retinal rod cell,CL:0000604,0.0,CL:0000740
unknown,unknown,cyanophore,CL:0000747,0.0,"CL:0000115, CL:0000129"
unknown,unknown,cyanophore,CL:0000747,0.0,CL:0000745
unknown,unknown,cyanophore,CL:0000747,0.0,"CL:0000749, CL:0000561"
unknown,unknown,cyanophore,CL:0000747,0.0,"CL:0000749, CL:0000561"
