,0
0,B Cells
1,Macrophages
2,Macrophages
3,Macrophages
4,NK Cells / T Cells (Cytotoxic/CD8+)
5,T Cells
6,Macrophages
7,B Cells
8,Erythroid Cells
9,Erythroid Cells
10,Macrophages
11,Erythroid Cells
12,Macrophages
13,Macrophages
14,Dendritic Cells
15,Monocytes
16,Macrophages
17,Macrophages (Non-Kupffer/Infiltrating)
18,Macrophages
19,Erythroid Cells
20,B Cells
21,Macrophages
22,Hepatic Stellate Cells (HSCs)
23,Macrophages
24,NK Cells / T Cells (Cytotoxic/CD8+)
25,Cholangiocytes
26,Erythroid Cells
27,Macrophages
