Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
"small pre-b, b, pro-b","small pre-b, pro-b, b","small pre-B-II cell, pro-B cell, B-1 B cell","CL:0000954, CL:0000826, CL:0000819",1.0,"CL:0000954, CL:0000826, CL:0000819"
endothelial cell,endothelial cell,endothelial cell,CL:0000115,1.0,CL:0000115
"intermediate neutrophil, mature neutrophil","intermediate neutrophil, mature neutrophil","neutrophil, mature neutrophil","CL:0000775, CL:0000096",1.0,"CL:0000775, CL:0000096"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
"t, nk","nk, t","pro-NK cell, T cell","CL:0000825, CL:0000084",1.0,"CL:0000825, CL:0000084"
"t, nk","nk, t","pro-NK cell, T cell","CL:0000825, CL:0000084",1.0,"CL:0000825, CL:0000084"
kupffer,kupffer,Kupffer cell,CL:0000091,1.0,CL:0000091
"large pre-b, pro-b, b, small pre-b, pro-erythroblast","small pre-b, pro-b, b, pro-erythroblast, large pre-b","small pre-B-II cell, pro-B cell, B-1 B cell, erythroblast, large pre-B-II cell","CL:0000954, CL:0000826, CL:0000819, CL:0000765, CL:0000957",1.0,"CL:0000954, CL:0000826, CL:0000819, CL:0000765, CL:0000957"
"erythrocyte, erythroblast","erythrocyte, erythroblast","erythrocyte, erythroblast","CL:0000232, CL:0000765",1.0,"CL:0000232, CL:0000765"
"erythroblast, pro-erythroblast","pro-erythroblast, erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
"erythroblast, pro-erythroblast","pro-erythroblast, erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
"intermediate neutrophil, immature neutrophil","intermediate neutrophil, immature neutrophil","neutrophil, immature neutrophil","CL:0000775, CL:0000776",1.0,"CL:0000775, CL:0000776"
intermediate neutrophil,intermediate neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
"classical dendritic cell 1, plasmacytoid dendritic cell, classical dendritic cell 2, activating dendritic cell, granulocyte-monocyte progenitor","classical dendritic cell 1, activating dendritic cell, classical dendritic cell 2, plasmacytoid dendritic cell, granulocyte-monocyte progenitor","dendritic cell, dendritic cell, dendritic cell, plasmacytoid dendritic cell, granulocyte monocyte progenitor cell","CL:0000451, CL:0000451, CL:0000451, CL:0000784, CL:0000557",1.0,"CL:0000451, CL:0000451, CL:0000451, CL:0000784, CL:0000557"
"monocyte, classical dendritic cell 2, basophil","basophil, classical dendritic cell 2, monocyte","basophil, dendritic cell, monocyte","CL:0000767, CL:0000451, CL:0000576",1.0,"CL:0000767, CL:0000451, CL:0000576"
hepatoblast,hepatoblast,hepatoblast,CL:0005026,1.0,CL:0005026
"immature neutrophil, intermediate neutrophil, hematopoietic progenitor cell, monocyte, megakaryocyte, pro-erythroblast, basophil, granulocyte-monocyte progenitor, endothelial cell","intermediate neutrophil, basophil, immature neutrophil, monocyte, hematopoietic progenitor cell, endothelial cell, megakaryocyte, granulocyte-monocyte progenitor, pro-erythroblast","neutrophil, basophil, immature neutrophil, monocyte, hematopoietic multipotent progenitor cell, endothelial cell, megakaryocyte, granulocyte monocyte progenitor cell, erythroblast","CL:0000775, CL:0000767, CL:0000776, CL:0000576, CL:0000837, CL:0000115, CL:0000556, CL:0000557, CL:0000765",1.0,"CL:0000775, CL:0000767, CL:0000776, CL:0000576, CL:0000837, CL:0000115, CL:0000556, CL:0000557, CL:0000765"
"endothelial cell, kupffer, dcn+ macrophages, plasmacytoid dendritic cell","plasmacytoid dendritic cell, kupffer, endothelial cell, dcn+ macrophages","plasmacytoid dendritic cell, Kupffer cell, endothelial cell, lung macrophage","CL:0000784, CL:0000091, CL:0000115, CL:1001603",1.0,"CL:0000784, CL:0000091, CL:0000115, CL:1001603"
"pro-erythroblast, erythroblast","pro-erythroblast, erythroblast","erythroblast, erythroblast","CL:0000765, CL:0000765",1.0,"CL:0000765, CL:0000765"
b,b,B-1 B cell,CL:0000819,1.0,CL:0000819
"hepatocyte, endothelial cell, plasmacytoid dendritic cell","plasmacytoid dendritic cell, endothelial cell, hepatocyte","plasmacytoid dendritic cell, endothelial cell, hepatocyte","CL:0000784, CL:0000115, CL:0000182",1.0,"CL:0000784, CL:0000115, CL:0000182"
"fibroblast, hepatic stellate cell, mesothelial cell","hepatic stellate cell, fibroblast, mesothelial cell","hepatic stellate cell, fibroblast, mesothelial cell","CL:0000632, CL:0000057, CL:0000077",1.0,"CL:0000632, CL:0000057, CL:0000077"
"endothelial cell, t","t, endothelial cell","T cell, endothelial cell","CL:0000084, CL:0000115",1.0,"CL:0000084, CL:0000115"
"nk, t","nk, t","pro-NK cell, T cell","CL:0000825, CL:0000084",1.0,"CL:0000825, CL:0000084"
"cholangiocyte, endothelial cell, pro-erythroblast, hepatoblast","endothelial cell, hepatoblast, cholangiocyte, pro-erythroblast","endothelial cell, hepatoblast, cholangiocyte, erythroblast","CL:0000115, CL:0005026, CL:1000488, CL:0000765",1.0,"CL:0000115, CL:0005026, CL:1000488, CL:0000765"
"intermediate neutrophil, mature neutrophil, erythroblast","intermediate neutrophil, mature neutrophil, erythroblast","neutrophil, mature neutrophil, erythroblast","CL:0000775, CL:0000096, CL:0000765",1.0,"CL:0000775, CL:0000096, CL:0000765"
hepatocyte,hepatocyte,hepatocyte,CL:0000182,1.0,CL:0000182
