Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
b cell,b cell,B cell,CL:0000236,0.5,"CL:0000819, CL:0000954, CL:0000826"
liver sinusoidal endothelial cell (endothelial cell),liver sinusoidal endothelial cell (endothelial cell),endothelial cell of hepatic sinusoid,CL:1000398,0.5,CL:0000115
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000096, CL:0000775"
hepatocyte (mature),hepatocyte (mature),hepatocyte,CL:0000182,1.0,CL:0000182
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,0.0,"CL:0000084, CL:0000825"
t cell (cytotoxic),t cell (cytotoxic),cytotoxic T cell,CL:0000910,0.5,"CL:0000084, CL:0000825"
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,1.0,CL:0000091
b cell,b cell,B cell,CL:0000236,0.5,"CL:0000819, CL:0000957, CL:0000954, CL:0000765, CL:0000826"
erythroblast,erythroblast,erythroblast,CL:0000765,0.5,"CL:0000232, CL:0000765"
erythroblast,erythroblast,erythroblast,CL:0000765,1.0,"CL:0000765, CL:0000765"
hepatocyte (mature),hepatocyte (mature),hepatocyte,CL:0000182,1.0,CL:0000182
erythroblast,erythroblast,erythroblast,CL:0000765,1.0,"CL:0000765, CL:0000765"
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000775, CL:0000776"
neutrophil,neutrophil,neutrophil,CL:0000775,1.0,CL:0000775
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,0.0,"CL:0000451, CL:0000784, CL:0000451, CL:0000557, CL:0000451"
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,0.0,"CL:0000767, CL:0000451, CL:0000576"
hepatocyte (mature),hepatocyte (mature),hepatocyte,CL:0000182,0.0,CL:0005026
neutrophil,neutrophil,neutrophil,CL:0000775,0.5,"CL:0000115, CL:0000556, CL:0000767, CL:0000775, CL:0000765, CL:0000576, CL:0000837, CL:0000557, CL:0000776"
liver sinusoidal endothelial cell (endothelial cell),liver sinusoidal endothelial cell (endothelial cell),endothelial cell of hepatic sinusoid,CL:1000398,0.5,"CL:0000115, CL:0000784, CL:1001603, CL:0000091"
erythroblast,erythroblast,erythroblast,CL:0000765,1.0,"CL:0000765, CL:0000765"
b cell,b cell,B cell,CL:0000236,0.5,CL:0000819
hepatocyte (mature),hepatocyte (mature),hepatocyte,CL:0000182,0.5,"CL:0000115, CL:0000784, CL:0000182"
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,0.0,"CL:0000057, CL:0000077, CL:0000632"
liver sinusoidal endothelial cell (endothelial cell),liver sinusoidal endothelial cell (endothelial cell),endothelial cell of hepatic sinusoid,CL:1000398,0.5,"CL:0000084, CL:0000115"
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,0.0,"CL:0000084, CL:0000825"
hepatocyte (mature),hepatocyte (mature),hepatocyte,CL:0000182,0.0,"CL:0000115, CL:1000488, CL:0005026, CL:0000765"
monocyte / macrophage (non-kupffer),monocyte / macrophage (non-kupffer),Kupffer cell,CL:0000091,0.0,"CL:0000096, CL:0000765, CL:0000775"
hepatocyte (mature),hepatocyte (mature),hepatocyte,CL:0000182,1.0,CL:0000182
