Annotation,cell_type,broadtype,CLID,agreement_score,correct_CLID
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
müller glia,müller glia,Mueller cell,CL:0000636,1.0,CL:0000636
bipolar cell,bipolar cell,giant bipolar cell,CL:4033035,1.0,CL:4033035
bipolar cell,bipolar cell,giant bipolar cell,CL:4033035,1.0,CL:4033035
müller glia,müller glia,Mueller cell,CL:0000636,1.0,CL:0000636
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
rod,rod,retinal rod cell,CL:0000604,1.0,CL:0000604
"müller glia, amacrine cell","müller glia, amacrine cell","Mueller cell, amacrine cell","CL:0000636, CL:0000561",1.0,"CL:0000636, CL:0000561"
müller glia,müller glia,Mueller cell,CL:0000636,1.0,CL:0000636
müller glia,müller glia,Mueller cell,CL:0000636,1.0,CL:0000636
müller glia,müller glia,Mueller cell,CL:0000636,1.0,CL:0000636
cone,cone,retinal cone cell,CL:0000573,1.0,CL:0000573
retinal ganglion cell,retinal ganglion cell,retinal ganglion cell,CL:0000740,1.0,CL:0000740
"endothelial cell, microglia","microglia, endothelial cell","microglial cell, endothelial cell","CL:0000129, CL:0000115",1.0,"CL:0000129, CL:0000115"
horizontal cell,horizontal cell,retina horizontal cell,CL:0000745,1.0,CL:0000745
"amacrine cell, bipolar cell","amacrine cell, bipolar cell","amacrine cell, giant bipolar cell","CL:0000561, CL:4033035",1.0,"CL:0000561, CL:4033035"
"bipolar cell, amacrine cell","amacrine cell, bipolar cell","amacrine cell, giant bipolar cell","CL:0000561, CL:4033035",1.0,"CL:0000561, CL:4033035"
